name,poster,plays,comments,likes,reposts,posted_time,tag
just dance new jazz remix breadbeats x newmagick,marlonsito,"38,264 plays",6 comments,574,7,Posted on 24 October 2023,None
supernatural (new jazz remix),Newmagick,"38,364 plays",32 comments,825,5,Posted on 17 October 2023,new jazz
last,jazz,"60,496 plays",3 comments,221,7,Posted on 28 October 2020,R&B & Soul
sleep,jazz,"30,385 plays",12 comments,254,6,Posted on 8 May 2020,R&B & Soul
Tanin Jazz - Virtual Love,V3NZX,"61,894 plays",21 comments,"1,340",5,Posted on 27 September 2023,None
NBA Youngboy - Cant Be Saved (WSHH Exclusive - Official Audio),La Casa Urbana,"29,999,341 plays","2,739 comments",280K,"3,970",Posted on 29 August 2018,Hip hop y Rap
Study Beats Mix ► Chill / Hip Hop / Jazz,The Jazz Hop Café,"1,890,990 plays",880 comments,41.3K,"1,377",Posted on 15 December 2016,Mix
امير عيد وهبه مامون هكون لها طبعا امير - الوقت فات مسلسل ريفو,Hatem,"537,762 plays",31 comments,13.4K,77,Posted on 14 August 2023,Drum & Bass
nightmare,jazz,"5,706 plays",3 comments,50,4,Posted on 5 November 2022,lofi
wildest dreams (new jazz remix),Newmagick,"29,660 plays",22 comments,852,10,Posted on 24 November 2023,new jazz
jazz is for ordinary people,berlioz,"145,005 plays",55 comments,"4,211",113,Posted on 7 April 2023,Electronic
Soft Jazz Sexy Instrumental Relaxation Saxophone Music 2013 Collection,БРОДЯГА,"1,905,611 plays",569 comments,46K,"1,126",Posted on 17 October 2016,None
NEON Jimi Jazz,Federico Parisi,"51,813 plays",9 comments,853,3,Posted on 27 September 2023,None
Freeze Corleone x New Jazz (prod. wrongway! x 1tenseoh x strae1k),Tauros Beats,"39,490 plays",13 comments,968,9,Posted on 17 September 2023,Hip-hop & Rap
NBA Youngboy - No Love,La Casa Urbana,"13,250,289 plays","1,376 comments",156K,"1,927",Posted on 7 September 2018,Hip hop y Rap
Smooth Jazz (Late Night Show),Relaxing Instrumental Jazz Academy,"99,911 plays",64 comments,"1,180",37,Posted on 22 April 2015,New Age
twentyseventeen,jazz,"41,311 plays",5 comments,359,13,Posted on 1 January 2018,Trap
MYKE TOWERS FT SAMMY LENNY TAVAREZ RAFA PABON - LA FORMA EN QUE ME MIRAS (ORIGINAL),RD Urbans Music ✅,"11,859,082 plays",786 comments,159K,"1,750",Posted on 20 May 2015,Latina
"David Guetta, Bebe Rexha, J Balvin - Say My Name",TRAPCLOUD,"6,982,921 plays","2,457 comments",112K,"2,469",Posted on 14 September 2018,Reguetón
Bellaire - Paris City Jazz,Bellaire,"1,004,173 plays",172 comments,26.9K,"2,221",Posted on 29 May 2017,House
Jazz (Prod. by OnGaud),MICK JENKINS,"5,939,888 plays",454 comments,93K,11.3K,Posted on 12 August 2014,mickjenkins
Jazz Music,Jazz Music Collection,"23,378 plays",0,145,3,Posted on 16 July 2015,Jazz
What You Won't Do for Love,Bobby Caldwell,"2,155,617 plays",826 comments,45.8K,917,Posted on 30 April 2007,Jazz
Darci - Dust On Roads (With Jazz Cartier),Darci,"70,724 plays",30 comments,"1,301",100,Posted on 28 April 2023,R&B & Soul
Habits - Vintage 1930's Jazz Tove Lo Cover ft. Haley Reinhart,J3ss13,"341,141 plays",71 comments,"6,800",64,Posted on 19 August 2021,None
Jazz Music (Dinner Music),Relaxing Instrumental Jazz Academy,"51,645 plays",4 comments,309,8,Posted on 22 April 2015,New Age
Dezine - 'Lady Jazz' (Slowed),❥ 𝔹𝕖𝕧 ❥,"180,451 plays",36 comments,"4,209",50,Posted on 1 June 2022,None
Oncle Jazz,Men I Trust,"196,432 plays",53 comments,"3,344",56,Posted on 13 September 2019,None
Tanin-Jazz Virtual Love,Sweet Epic,"134,744 plays",67 comments,"2,532",32,Posted on 10 April 2019,None
Иван Дорн - New Jazz Beat,kyusai2k,"68,277 plays",9 comments,"1,223",9,Posted on 4 August 2023,newjazz
Love - Frankly Jazz 8 Piace Swing Band,Frankly Jazz,"54,011 plays",4 comments,"1,054",10,Posted on 2 February 2018,Jazz & Blues
If NewJeans sang over the viral new jazz beat by frozy808 (OG. Key - out on all streaming platforms),picassio,"152,523 plays",103 comments,"4,180",125,Posted on 27 August 2023,Pop
Toxi$ Feat. OG Buda - LUVSKI,МузЛист RU,"273,109 plays",28 comments,"3,219",3,Posted on 2 September 2023,Hip-hop & Rap
Stock Jazz Elevator Music | Funny Meme Effect,Fesliyan Studios,"174,344 plays",147 comments,"3,086",34,Posted on 19 June 2019,Jazz & Blues
PILLS║Rap Lofi Type Beat Instrumental║Lo Fi hip hop sad type beat chill piano boom bap Jazz Guitar,Rᴀᴘ Bᴇᴀᴛs║Tʀᴀᴘ Iɴsᴛʀᴜᴍᴇɴᴛᴀʟ Tʏᴘᴇ Bᴇᴀᴛ Dʀɪʟʟ Mᴜsɪᴄ,0,0,Like,Repost,Posted on 30 January 2016,R&B & Soul
Август,INTELLIGENCY,"10,855,276 plays","2,779 comments",150K,"1,999",Posted on 27 September 2019,Jazz
Tanin Jazz - Виртуальная Любовь,TANINJAZZ,"63,281 plays",35 comments,"1,543",15,Posted on 19 June 2021,Pop
"RE-IGNITION ft ARB4, Jazz Alonso, Emei",VALORANT,"25,029 plays",6 comments,517,18,Posted on 2 September 2023,None
Berlioz - deep in it/ jazz is for ordinary people (C-notes house edit),C-Notes,"124,821 plays",195 comments,"4,283",181,Posted on 2 May 2023,Jazz & Blues
Softly Karan aujla,music online,0,0,Like,Repost,Posted on 1 October 2023,Hip-hop & Rap
PRETTY║Chill Piano Sad Lofi 90s Boom Bap BoomBap Old School Chill Piano Type Beat Jazz,Rᴀᴘ Bᴇᴀᴛs║Tʀᴀᴘ Iɴsᴛʀᴜᴍᴇɴᴛᴀʟ Tʏᴘᴇ Bᴇᴀᴛ Dʀɪʟʟ Mᴜsɪᴄ,0,0,Like,Repost,Posted on 17 January 2017,Chill Type beat
NEW JAZZ X ASAP (BBLone® REMIX),BBLone®,"16,309 plays",20 comments,435,10,Posted on 26 September 2023,Hip-hop & Rap
Bel Jazz- La Femme De Mon Patron,Ella Ji Pierre,"490,897 plays",13 comments,"3,739",114,Posted on 28 September 2013,konpa
Lullaby Of Jazz,Relax Cafe Music BGM,"39,507 plays",1 comment,88,3,Posted on 25 March 2023,Jazz & Blues
The Vibe jazz,CrazyJaZz,"3,513,383 plays",261 comments,28.2K,969,Posted on 8 June 2017,Hip-hop & Rap
new dorn new jazz - nixony + whyonly18,nixony,"55,480 plays",12 comments,"1,265",23,Posted on 29 July 2023,Hip-hop & Rap
DISIP It Doesn't Matter Live Spring Valley Ny 3 - 10 - 17 BKS 9082205600 Sa se yon lot JAZZ,BLACKKRYTIKSHOW OFFICIAL,"353,024 plays",28 comments,"3,022",68,Posted on 13 March 2017,World
new dorn new jazz,yockerchief,"111,899 plays",66 comments,"2,826",25,Posted on 27 July 2023,Trap
Paris City Jazz,Bellaire,"143,993 plays",17 comments,"3,891",55,Posted on 19 January 2018,Electronic
SUAVE REMIX - EL ALFA FT CHENCHO FT BRYANT MYERS FT NORIEL FT JON Z FT MIKY WOODZ,Urban Latin ✅,"13,807,565 plays","1,910 comments",189K,"3,157",Posted on 12 January 2015,Latina
Soft Jazz,Relaxing Instrumental Jazz Academy,"64,776 plays",3 comments,682,11,Posted on 25 May 2011,Dance
None,Strictly Bangers,"1,650,755 plays",367 comments,15.6K,168,Posted on 2 October 2021,None
newsha jazz nixony whyonly18,nixony,"38,285 plays",9 comments,902,11,Posted on 30 August 2023,Hip-hop & Rap
